File: zero_flow.bin
  Record 0: Offset=0, Length=99
  Record 1: Offset=99, Length=101
  Record 2: Offset=200, Length=103
  Record 3: Offset=303, Length=105
  Record 4: Offset=408, Length=107
  Record 5: Offset=515, Length=109
  Record 6: Offset=624, Length=111
  Record 7: Offset=735, Length=113
  Record 8: Offset=848, Length=115
  Record 9: Offset=963, Length=117
  Record 10: Offset=1080, Length=119
  Record 11: Offset=1199, Length=99
  Record 12: Offset=1298, Length=101
  Record 13: Offset=1399, Length=103
  Record 14: Offset=1502, Length=105
  Record 15: Offset=1607, Length=107
  Record 16: Offset=1714, Length=109
  Record 17: Offset=1823, Length=111
  Record 18: Offset=1934, Length=113
  Record 19: Offset=2047, Length=115
  Record 20: Offset=2162, Length=117
  Record 21: Offset=2279, Length=119
  Record 22: Offset=2398, Length=99
  Record 23: Offset=2497, Length=101
  Record 24: Offset=2598, Length=103
  Record 25: Offset=2701, Length=105
  Record 26: Offset=2806, Length=107
  Record 27: Offset=2913, Length=109
  Record 28: Offset=3022, Length=111
  Record 29: Offset=3133, Length=113
  Record 30: Offset=3246, Length=115
  Record 31: Offset=3361, Length=113
  Record 32: Offset=3474, Length=111
  Record 33: Offset=3585, Length=109
  Record 34: Offset=3694, Length=107
  Record 35: Offset=3801, Length=105
  Record 36: Offset=3906, Length=103
  Record 37: Offset=4009, Length=101
  Record 38: Offset=4110, Length=99
  Record 39: Offset=4209, Length=119
  Record 40: Offset=4328, Length=117
  Record 41: Offset=4445, Length=115
  Record 42: Offset=4560, Length=113
  Record 43: Offset=4673, Length=111
  Record 44: Offset=4784, Length=109
  Record 45: Offset=4893, Length=107
  Record 46: Offset=5000, Length=105
  Record 47: Offset=5105, Length=103
  Record 48: Offset=5208, Length=101
  Record 49: Offset=5309, Length=99
  Record 50: Offset=5408, Length=119
  Record 51: Offset=5527, Length=117
  Record 52: Offset=5644, Length=115
  Record 53: Offset=5759, Length=113
  Record 54: Offset=5872, Length=111
  Record 55: Offset=5983, Length=109
  Record 56: Offset=6092, Length=107
  Record 57: Offset=6199, Length=105
  Record 58: Offset=6304, Length=103
  Record 59: Offset=6407, Length=133

File: constant_flow.bin
  Record 0: Offset=0, Length=99
  Record 1: Offset=99, Length=101
  Record 2: Offset=200, Length=103
  Record 3: Offset=303, Length=105
  Record 4: Offset=408, Length=107
  Record 5: Offset=515, Length=109
  Record 6: Offset=624, Length=111
  Record 7: Offset=735, Length=113
  Record 8: Offset=848, Length=115
  Record 9: Offset=963, Length=117
  Record 10: Offset=1080, Length=119
  Record 11: Offset=1199, Length=99
  Record 12: Offset=1298, Length=101
  Record 13: Offset=1399, Length=103
  Record 14: Offset=1502, Length=105
  Record 15: Offset=1607, Length=107
  Record 16: Offset=1714, Length=109
  Record 17: Offset=1823, Length=111
  Record 18: Offset=1934, Length=113
  Record 19: Offset=2047, Length=115
  Record 20: Offset=2162, Length=117
  Record 21: Offset=2279, Length=119
  Record 22: Offset=2398, Length=99
  Record 23: Offset=2497, Length=101
  Record 24: Offset=2598, Length=103
  Record 25: Offset=2701, Length=105
  Record 26: Offset=2806, Length=107
  Record 27: Offset=2913, Length=109
  Record 28: Offset=3022, Length=111
  Record 29: Offset=3133, Length=113
  Record 30: Offset=3246, Length=115
  Record 31: Offset=3361, Length=113
  Record 32: Offset=3474, Length=111
  Record 33: Offset=3585, Length=109
  Record 34: Offset=3694, Length=107
  Record 35: Offset=3801, Length=105
  Record 36: Offset=3906, Length=103
  Record 37: Offset=4009, Length=101
  Record 38: Offset=4110, Length=99
  Record 39: Offset=4209, Length=119
  Record 40: Offset=4328, Length=117
  Record 41: Offset=4445, Length=115
  Record 42: Offset=4560, Length=113
  Record 43: Offset=4673, Length=111
  Record 44: Offset=4784, Length=109
